iso,year,CLI
DEU,2002,98.46614
DNK,2002,98.94749
EA19,2002,99.11512
ESP,2002,99.0262
EST,2002,97.52004
FIN,2002,99.05447
FRA,2002,99.33353
GBR,2002,100.0676
GRC,2002,99.04898
HUN,2002,97.86897
IDN,2002,99.62979
IND,2002,98.60548
IRL,2002,100.3744
ISR,2002,99.49837
ITA,2002,99.67253
JPN,2002,98.70678
KOR,2002,101.0149
MEX,2002,100.1367
NLD,2002,99.61913
NOR,2002,99.45264
NZL,2002,100.6723
POL,2002,97.58157
PRT,2002,99.24183
RUS,2002,97.90243
SVK,2002,100.5932
SVN,2002,99.62116
SWE,2002,97.8726
TUR,2002,98.48179
USA,2002,98.84943
ZAF,2002,100.7218
AUS,2003,100.0681
AUT,2003,99.34306
BEL,2003,98.83471
BRA,2003,98.62218
CAN,2003,99.20559
CHE,2003,97.28549
CHL,2003,98.24282
CHN,2003,101.02
CZE,2003,98.70047
DEU,2003,98.81498
DNK,2003,98.66629
EA19,2003,98.79356
ESP,2003,98.38567
EST,2003,99.33744
FIN,2003,99.04089
FRA,2003,98.47851
GBR,2003,98.96868
GRC,2003,99.85678
HUN,2003,97.61404
IDN,2003,97.65152
IND,2003,97.98262
IRL,2003,96.54041
ISR,2003,96.93923
ITA,2003,99.47247
JPN,2003,99.29969
KOR,2003,99.50841
MEX,2003,100.0498
NLD,2003,98.69116
NOR,2003,97.60548
NZL,2003,99.70765
POL,2003,100.8517
PRT,2003,98.21288
RUS,2003,98.91875
SVK,2003,98.03478
SVN,2003,99.26842
SWE,2003,98.09751
TUR,2003,99.33484
USA,2003,97.75527
ZAF,2003,98.45764
AUS,2004,99.76714
AUT,2004,100.3006
BEL,2004,100.2103
BRA,2004,100.807
CAN,2004,100.675
CHE,2004,100.1891
CHL,2004,99.72772
CHN,2004,101.6717
CZE,2004,98.66605
DEU,2004,100.5969
DNK,2004,98.81635
EA19,2004,99.8257
ESP,2004,99.61417
EST,2004,99.30713
FIN,2004,101.3089
FRA,2004,99.20469
GBR,2004,100.6458
GRC,2004,101.4446
HUN,2004,100.3065
IDN,2004,101.568
IND,2004,99.54703
IRL,2004,95.87413
ISR,2004,99.86761
ITA,2004,99.67371
JPN,2004,100.5757
KOR,2004,100.3561
MEX,2004,101.4442
NLD,2004,99.5566
NOR,2004,99.60194
NZL,2004,101.5027
POL,2004,102.1909
PRT,2004,99.03048
RUS,2004,100.0356
SVK,2004,97.3847
SVN,2004,98.35343
SWE,2004,98.43145
TUR,2004,102.7058
USA,2004,100.8625
ZAF,2004,98.82887
AUS,2005,100.1546
AUT,2005,99.96783
BEL,2005,99.80183
BRA,2005,100.0065
CAN,2005,100.1168
CHE,2005,99.33041
CHL,2005,101.3014
CHN,2005,100.4973
CZE,2005,100.1581
DEU,2005,99.87929
DNK,2005,100.6221
EA19,2005,99.89523
ESP,2005,100.3167
EST,2005,100.7847
FIN,2005,101.1558
FRA,2005,99.92244
GBR,2005,100.511
GRC,2005,98.30444
HUN,2005,99.54415
IDN,2005,103.4862
IND,2005,99.58481
IRL,2005,97.97614
ISR,2005,100.3137
ITA,2005,99.9272
JPN,2005,100.6489
KOR,2005,99.96412
MEX,2005,99.77795
NLD,2005,100.0636
NOR,2005,100.6362
NZL,2005,101.0292
POL,2005,99.84834
PRT,2005,99.51215
RUS,2005,99.34361
SVK,2005,100.3711
SVN,2005,99.26044
SWE,2005,99.63573
TUR,2005,102.1139
USA,2005,100.4346
ZAF,2005,100.273
AUS,2006,99.89948
AUT,2006,100.0764
BEL,2006,100.6114
BRA,2006,99.40637
CAN,2006,100.2493
CHE,2006,101.1189
CHL,2006,100.5298
CHN,2006,100.5612
CZE,2006,101.5885
DEU,2006,100.9777
DNK,2006,101.7796
EA19,2006,100.6312
